Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","69.917598","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","70.173824","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","70.430049","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","70.750332","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","71.070614","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","71.390896","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","71.839291","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","72.287686","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","72.736081","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","72.736081","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","72.736081","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","72.736081","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","72.672025","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","72.607968","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","72.543912","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","72.960279","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","73.376645","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","73.793012","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","74.241407","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","74.689802","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","75.138197","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","74.914","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","74.689802","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","74.465605","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","74.305464","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","74.145323","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","73.985182","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","74.337492","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","74.689802","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","75.042113","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","75.26631","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","75.490508","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","75.714705","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","75.746734","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","75.778762","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","75.81079","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","76.002959","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","76.195129","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","76.387298","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","76.867721","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","77.348144","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","77.828568","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","78.180878","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","78.533188","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","78.885499","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","79.974458","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","81.063418","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","82.152377","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","82.792941","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","83.433506","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","84.07407","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","84.202183","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","84.330296","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","84.458409","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","83.785816","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","83.113223","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","82.440631","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","82.921054","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","83.401477","I","Value imputed by a receiving agency","base year is 2015"
"CP","Consumer Price Indices","036","Australia","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","83.881901","A","Official figure","base year is 2015"
